T,TM,Tm,SLP,H,VV,V,VM,PM2.5
29.3,34.1,26.5,1004.7,83.0,4.5,1.9,3.5,73.0
29.0,34.0,25.8,1007.0,79.0,4.5,0.6,3.5,93.0
28.9,32.3,27.2,1008.5,84.0,5.0,0.7,3.5,176.0
28.1,33.0,26.4,1004.8,84.0,4.5,0.7,3.5,198.0
28.8,33.5,26.6,1004.3,79.0,4.7,0.6,3.5,205.0
29.6,32.9,24.5,1007.9,62.0,4.7,0.6,3.5,155.0
29.3,34.4,25.6,1008.0,60.0,4.5,1.5,5.4,157.0
29.8,34.7,25.9,1006.5,70.0,4.3,1.5,3.5,165.0
28.8,35.8,25.5,1006.0,62.0,4.8,1.5,3.5,160.0
29.3,33.2,22.8,1005.9,51.0,4.7,2.8,9.4,146.0
25.2,30.2,24.2,1011.9,89.0,4.0,2.2,9.4,133.16722408026754
28.4,34.0,25.6,1011.1,76.0,4.7,0.7,3.5,133.16722408026754
30.1,34.1,25.2,1011.1,65.0,4.7,1.1,3.5,133.16722408026754
23.6,27.4,21.6,1008.9,84.0,4.3,1.5,3.5,133.16722408026754
24.6,30.6,20.2,1012.9,60.0,4.0,1.5,3.5,133.16722408026754
23.8,29.8,19.0,1012.2,62.0,4.0,1.9,5.4,133.16722408026754
24.7,29.7,20.0,1012.8,63.0,4.3,1.9,3.5,133.16722408026754
22.2,28.5,17.7,1011.2,73.0,3.4,0.7,3.5,133.16722408026754
22.7,29.2,18.3,1010.5,69.0,4.2,0.6,3.5,133.16722408026754
23.0,29.2,18.6,1014.7,73.0,4.2,0.7,3.5,133.16722408026754
24.3,29.6,18.8,1014.2,69.0,4.2,0.6,3.5,133.16722408026754
22.9,29.6,18.8,1014.9,75.0,3.9,0.6,3.5,133.16722408026754
24.3,29.5,19.0,1015.8,63.0,4.0,0.9,3.5,133.16722408026754
20.8,31.0,15.5,1011.6,68.0,4.2,0.6,3.5,133.16722408026754
21.4,27.4,17.0,1010.9,70.0,3.5,1.9,3.5,133.16722408026754
19.3,23.4,17.0,1013.1,73.0,3.2,1.5,3.5,133.16722408026754
20.7,26.3,15.8,1013.1,68.0,3.4,2.4,3.5,133.16722408026754
21.2,26.8,18.2,1013.1,67.0,3.9,0.7,3.5,133.16722408026754
22.9,27.5,18.5,1012.3,74.0,2.6,0.9,3.5,133.16722408026754
21.3,26.5,18.3,1013.6,70.0,2.9,1.5,3.5,133.16722408026754
22.5,27.2,15.9,1013.5,66.0,3.2,2.2,5.4,147.0
23.6,27.2,16.7,1012.5,53.0,2.9,3.1,5.4,115.0
20.8,27.0,13.8,1011.6,59.0,3.5,0.9,3.5,49.0
22.9,27.3,15.4,1010.7,44.0,3.7,0.9,3.5,52.0
20.0,25.0,14.8,1012.1,63.0,2.7,2.2,5.4,117.0
22.4,27.8,16.7,1013.2,64.0,3.5,1.5,3.5,163.0
20.1,27.4,15.0,1014.9,60.0,3.5,1.3,3.5,131.0
26.1,32.0,16.0,1012.0,37.0,4.3,1.3,3.5,120.0
22.2,29.8,15.6,1010.3,41.0,4.8,0.9,3.5,203.0
26.7,31.5,17.9,1011.3,37.0,3.9,0.9,3.5,206.0
27.2,33.2,18.0,1009.2,47.0,3.7,1.9,3.5,215.0
25.9,33.4,21.4,1007.1,67.0,4.0,0.9,3.5,238.0
24.3,30.1,20.2,1008.7,63.0,3.9,1.9,3.5,224.0
24.1,27.8,18.8,1007.6,72.0,4.3,1.9,3.5,190.0
24.6,32.0,19.8,1007.0,81.0,3.2,8.9,37.0,54.0
23.8,29.5,16.0,1013.0,40.0,4.5,1.1,3.5,81.0
22.9,29.8,16.3,1012.2,45.0,4.8,0.6,3.5,87.0
24.7,31.2,18.3,1011.1,61.0,4.7,1.5,3.5,82.0
27.1,30.7,20.7,1009.9,69.0,4.2,1.9,3.5,74.0
27.4,30.6,24.8,1009.4,79.0,4.3,3.3,3.5,50.0
26.9,30.1,25.5,1006.7,84.0,4.0,0.7,5.4,71.0
28.5,33.2,24.6,1007.3,77.0,4.7,4.4,7.6,59.0
29.3,33.8,26.0,1006.4,71.0,5.1,6.3,9.4,65.0
28.9,32.4,26.5,1006.0,71.0,4.7,10.2,16.5,66.0
28.0,33.4,24.2,1006.6,74.0,4.8,5.2,7.6,94.0
29.4,34.0,23.0,1006.5,75.0,4.8,2.6,5.4,115.0
29.8,34.0,26.0,1007.6,76.0,4.5,1.9,5.4,135.0
30.9,36.5,23.0,1007.5,43.0,4.8,0.6,3.5,73.0
28.6,34.5,23.6,1005.7,60.0,5.3,3.7,7.6,101.0
26.1,33.4,22.2,1004.1,81.0,3.5,7.8,37.0,76.0
26.2,29.6,21.5,1005.9,76.0,4.2,3.7,7.6,96.0
24.8,28.3,23.0,1005.7,84.0,4.2,6.1,9.4,84.0
29.9,34.0,20.0,1003.2,77.0,5.1,6.3,11.1,143.0
30.7,34.0,21.3,1005.7,76.0,5.0,7.2,14.8,117.0
30.1,33.8,25.5,1006.7,71.0,5.3,3.3,5.4,80.0
26.8,33.0,22.0,1009.9,74.0,4.7,5.6,22.2,101.0
30.3,35.1,25.8,1008.9,72.0,5.0,0.9,3.5,76.0
30.3,34.6,24.5,1008.4,71.0,5.1,5.0,9.4,73.0
31.4,35.0,27.8,1007.1,67.0,5.3,2.0,5.4,83.0
26.2,31.7,24.0,1008.0,76.0,5.1,6.9,25.9,75.0
30.5,34.8,26.3,1004.5,66.0,5.5,2.8,7.6,77.0
29.3,34.7,25.4,1003.1,77.0,5.0,3.1,11.1,85.0
26.8,32.7,22.4,1001.7,76.0,4.5,4.1,14.8,117.0
31.2,36.0,28.4,1003.7,71.0,5.6,2.2,5.4,117.0
32.3,36.2,28.2,1002.4,69.0,5.3,1.5,5.4,98.0
31.4,36.0,26.3,1002.4,71.0,4.8,1.1,3.5,130.0
31.3,35.2,28.6,1003.5,74.0,5.0,1.5,3.5,56.0
29.8,34.0,26.0,1004.1,72.0,4.8,0.6,3.5,73.0
26.5,28.0,24.8,1002.4,90.0,4.7,2.0,5.4,159.0
28.0,32.2,24.6,1003.2,80.0,5.1,5.9,14.8,89.0
32.1,35.0,23.5,1000.9,75.0,5.3,3.9,5.4,55.0
31.1,35.5,27.7,1002.7,77.0,5.5,1.1,3.5,108.0
29.5,36.1,24.8,1001.3,75.0,5.0,0.6,3.5,105.0
29.6,31.5,27.2,1001.1,81.0,5.0,1.1,5.4,116.0
29.0,32.4,26.5,1000.0,81.0,5.3,1.9,5.4,159.0
29.6,32.4,27.4,1000.4,81.0,5.3,0.9,3.5,141.0
30.2,34.0,28.0,1001.6,74.0,5.3,2.0,5.4,135.0
29.9,33.2,28.2,1002.0,76.0,5.3,2.4,5.4,112.0
29.9,33.2,28.0,1000.5,80.0,4.8,0.9,3.5,145.0
29.0,31.8,27.5,998.5,83.0,4.5,2.0,5.4,147.0
28.6,32.2,26.9,998.2,89.0,3.9,3.5,5.4,152.0
28.1,30.2,26.5,998.3,88.0,3.7,1.9,5.4,117.0
30.7,34.0,27.3,1001.1,68.0,5.0,2.0,5.4,111.0
31.8,35.8,28.0,999.1,68.0,5.3,2.0,3.5,142.0
31.4,35.4,27.5,998.7,74.0,5.0,0.6,3.5,143.0
27.2,28.3,25.9,1001.1,91.0,3.7,0.4,1.9,125.0
27.7,31.3,26.0,999.1,86.0,3.7,1.1,3.5,132.0
30.2,33.4,24.9,1003.0,77.0,5.5,2.4,3.5,130.0
31.6,35.0,27.0,1003.7,71.0,5.6,0.6,3.5,127.0
30.4,33.6,28.2,1001.5,78.0,4.5,1.1,3.5,156.0
29.0,33.4,26.7,998.0,86.0,4.3,0.6,3.5,70.0
29.4,32.4,26.0,1004.1,78.0,5.1,0.7,3.5,99.0
30.8,34.2,28.4,1003.4,73.0,5.0,1.1,3.5,105.0
29.3,33.8,28.0,1003.4,81.0,5.1,2.8,5.4,115.0
27.7,31.6,25.6,1004.6,89.0,4.5,0.6,3.5,126.0
30.3,34.0,25.4,1004.4,70.0,5.5,2.8,5.4,81.0
30.6,33.5,27.5,1003.6,72.0,5.3,1.5,3.5,63.0
29.3,32.6,26.0,999.7,79.0,4.3,1.9,9.4,102.0
29.7,33.4,25.4,1001.0,77.0,4.8,2.0,3.5,86.0
28.2,31.3,26.2,1004.4,89.0,4.5,0.7,3.5,35.0
29.2,33.0,27.0,1002.1,77.0,5.1,1.1,3.5,50.0
28.5,33.9,26.6,1003.6,84.0,4.5,1.5,3.5,59.0
30.4,34.8,28.0,1005.7,76.0,4.5,1.1,3.5,257.0
30.3,34.7,28.0,1006.0,76.0,4.8,2.8,5.4,277.0
29.7,32.4,27.8,1005.4,77.0,4.5,2.0,5.4,210.0
27.2,30.0,26.1,1002.2,91.0,4.2,1.7,7.6,336.0
28.6,31.0,26.0,1004.5,86.0,3.9,2.8,5.4,240.0
29.1,32.8,26.0,1005.2,79.0,5.3,1.9,3.5,257.0
30.2,32.8,27.9,1004.5,84.0,4.3,0.9,3.5,306.0
27.2,32.5,25.5,1006.8,92.0,3.9,0.6,3.5,189.0
29.0,33.2,25.4,1005.9,79.0,5.0,1.1,3.5,232.0
30.1,35.0,26.0,1006.2,74.0,4.7,0.6,3.5,256.0
28.1,32.5,26.5,1006.5,81.0,4.2,1.5,3.5,186.0
28.3,31.9,26.0,1006.0,77.0,5.3,4.6,5.4,219.0
27.1,29.0,25.8,1006.3,85.0,4.0,2.4,7.6,188.0
30.6,34.0,27.7,1003.9,70.0,4.8,0.9,5.4,234.0
30.8,33.6,27.2,1004.0,69.0,5.0,3.3,9.4,187.0
29.3,32.2,26.5,1006.7,75.0,4.7,2.4,7.6,231.0
25.1,30.5,20.0,1013.1,69.0,4.0,1.9,3.5,175.0
26.2,31.1,21.0,1011.0,66.0,4.0,0.9,5.4,163.0
24.6,31.8,20.4,1011.3,72.0,4.2,1.3,7.6,139.0
28.0,32.4,22.0,1011.2,55.0,4.8,0.9,3.5,151.0
25.7,32.0,21.6,1010.6,64.0,4.7,1.1,3.5,156.0
25.7,31.2,21.2,1010.4,67.0,4.5,0.6,3.5,123.0
27.2,32.8,21.6,1008.8,53.0,5.1,1.1,3.5,186.0
23.6,27.2,21.4,1011.3,78.0,3.4,0.9,3.5,237.0
26.3,30.7,20.5,1011.3,61.0,4.5,1.1,3.5,180.0
23.9,29.0,20.2,1010.7,53.0,4.5,3.9,9.4,188.0
21.8,28.7,19.0,1013.6,62.0,3.9,3.0,9.4,163.0
23.4,28.3,18.4,1011.9,56.0,3.7,0.9,3.5,285.0
22.8,28.9,17.2,1012.9,63.0,3.9,1.1,5.4,142.64071856287424
21.0,22.8,18.7,1011.9,94.0,3.2,2.0,7.6,142.64071856287424
24.1,27.2,16.2,1014.8,53.0,3.7,1.9,3.5,142.64071856287424
22.4,26.3,17.8,1012.7,68.0,3.2,1.5,3.5,142.64071856287424
19.1,24.6,16.2,1014.2,84.0,1.9,1.9,3.5,142.64071856287424
18.6,24.6,14.2,1011.8,48.0,3.2,3.5,9.4,163.0
15.7,21.8,10.5,1013.4,69.0,2.7,3.5,5.4,165.0
16.3,22.5,11.5,1011.5,78.0,1.9,2.0,3.5,150.0
14.6,18.9,12.4,1013.8,88.0,0.8,1.5,5.4,234.0
15.7,22.2,10.6,1012.9,82.0,1.4,0.9,3.5,296.0
17.1,22.3,13.0,1012.3,63.0,3.4,2.4,5.4,178.0
17.1,24.2,11.5,1013.3,57.0,2.9,1.5,5.4,161.0
20.7,25.5,14.4,1011.2,59.0,2.6,0.7,3.5,177.0
23.1,28.6,17.6,1011.4,54.0,3.2,0.9,3.5,213.0
23.6,28.5,20.4,1014.3,46.0,2.7,1.9,3.5,227.0
22.2,27.8,18.2,1016.2,36.0,3.4,0.7,5.4,271.0
22.3,27.8,17.8,1017.2,47.0,4.3,2.2,5.4,203.0
22.4,28.2,16.8,1014.8,47.0,4.2,2.6,5.4,207.0
22.3,28.3,16.1,1011.0,56.0,4.0,1.1,5.4,120.0
24.8,31.1,19.3,1009.6,62.0,3.5,1.1,5.4,223.0
25.0,31.0,20.0,1009.2,58.0,3.9,0.9,3.5,239.0
25.3,31.6,19.3,1010.4,66.0,3.5,0.6,3.5,224.0
25.3,31.0,19.0,1010.8,71.0,3.9,0.9,3.5,211.0
25.8,31.8,20.4,1010.3,57.0,4.3,1.3,3.5,203.0
25.9,31.5,20.4,1009.7,58.0,3.7,0.7,5.4,195.0
26.7,32.6,20.8,1007.8,56.0,3.9,1.9,9.4,87.0
27.4,33.8,22.0,1005.6,63.0,3.7,2.8,5.4,79.0
26.2,32.3,19.6,1011.6,35.0,4.7,2.8,5.4,111.0
26.5,32.0,17.5,1011.4,39.0,4.5,1.9,5.4,91.0
25.6,32.2,19.8,1010.2,50.0,4.5,2.0,5.4,67.0
26.5,34.2,22.0,1009.2,61.0,4.3,2.4,5.4,77.0
27.6,34.2,21.6,1008.3,69.0,4.5,1.9,5.4,80.0
28.2,34.4,23.7,1007.8,62.0,4.2,1.5,5.4,64.0
27.8,34.4,22.8,1010.7,55.0,3.7,1.5,5.4,81.0
27.1,34.0,20.5,1009.1,40.0,4.3,1.1,5.4,101.0
28.8,34.6,21.5,1008.5,42.0,4.5,2.0,5.4,108.0
28.3,34.5,16.2,1011.1,65.0,4.5,1.9,3.5,95.0
27.2,33.5,23.0,1010.0,66.0,4.2,2.8,9.4,90.0
27.4,33.9,22.2,1008.5,69.0,4.5,2.0,5.4,83.0
24.2,28.9,18.0,1009.6,68.0,4.8,3.7,11.1,107.0
27.5,34.0,20.5,1009.4,52.0,5.1,5.0,27.8,105.0
26.1,30.0,21.4,1009.9,67.0,4.0,2.0,5.4,65.0
28.5,34.2,24.2,1008.3,55.0,5.0,1.3,3.5,113.0
26.7,32.0,22.2,1009.5,70.0,4.0,3.1,13.0,109.0
30.4,33.6,22.3,1010.5,55.0,4.5,1.1,5.4,106.0
28.6,32.8,21.4,1008.2,62.0,5.1,2.8,5.4,101.0
26.5,34.1,22.0,1007.4,75.0,4.2,4.1,14.8,72.0
27.2,32.4,21.2,1005.6,74.0,5.1,6.3,25.9,162.0
28.6,35.0,22.5,1005.5,72.0,6.0,3.3,7.6,155.0
26.9,33.1,23.2,1005.2,83.0,4.5,4.3,13.0,191.0
26.6,34.1,21.4,1006.5,66.0,4.8,3.5,5.4,126.0
26.8,33.8,20.3,1007.6,62.0,4.0,7.0,14.8,141.0
26.7,31.0,19.8,1009.1,68.0,5.5,2.6,7.6,166.0
27.7,33.0,21.5,1007.7,69.0,4.3,4.4,9.4,135.0
25.2,32.8,21.4,1007.9,79.0,5.0,4.6,9.4,95.0
27.8,32.5,20.8,1008.9,69.0,4.8,3.5,5.4,146.0
27.2,30.0,21.2,1004.7,82.0,4.5,4.8,9.4,104.0
29.8,33.0,24.6,1004.2,80.0,4.5,5.9,11.1,136.0
28.1,31.9,25.6,1006.4,82.0,4.5,4.3,11.1,140.0
27.6,32.8,23.5,1007.0,75.0,4.5,4.4,7.6,119.0
27.3,32.5,22.4,1007.3,75.0,4.3,0.6,3.5,128.0
28.8,34.6,23.0,1005.7,73.0,4.3,3.5,9.4,127.0
26.2,29.4,25.6,1005.1,91.0,4.7,4.1,9.4,111.0
28.7,32.0,25.8,1003.7,82.0,4.5,5.0,11.1,100.0
29.3,34.4,26.0,1003.4,79.0,4.3,6.5,9.4,100.0
29.2,35.4,24.5,1001.6,61.0,5.1,2.6,9.4,82.0
30.7,35.4,26.6,1001.8,63.0,5.0,2.4,5.4,119.0
26.1,28.2,23.6,1004.8,88.0,4.5,0.6,3.5,138.0
26.7,32.0,23.6,1006.1,87.0,3.9,4.3,9.4,113.0
28.8,33.2,25.1,1004.5,83.0,4.5,2.8,5.4,142.0
28.0,34.2,25.4,1002.2,86.0,4.2,0.7,5.4,132.0
31.2,34.0,28.0,1000.8,78.0,4.5,1.3,5.4,111.0
31.1,34.3,27.2,998.2,78.0,4.8,2.2,5.4,122.0
30.8,35.1,27.0,994.8,76.0,4.5,1.3,5.4,128.0
29.2,31.5,25.8,994.1,86.0,4.2,9.4,55.4,96.0
32.4,35.6,27.6,995.3,77.0,4.8,4.4,5.4,66.0
29.6,34.4,25.0,998.2,82.0,4.3,4.3,14.8,97.0
26.3,28.5,24.0,1000.9,86.0,4.2,3.0,9.4,92.0
30.2,34.6,23.8,1001.7,76.0,4.8,1.1,9.4,107.0
30.8,34.7,27.8,1001.7,76.0,5.3,3.5,11.1,127.0
27.8,31.3,26.4,998.7,87.0,4.3,2.4,11.1,98.0
29.9,33.8,26.2,998.9,76.0,4.8,6.3,11.1,61.0
28.6,32.2,25.8,1001.4,79.0,4.5,5.9,9.4,106.0
30.3,33.2,26.9,1001.6,73.0,5.5,10.0,13.0,94.0
29.6,33.6,25.8,1000.7,79.0,5.3,3.9,5.4,129.0
27.3,29.8,25.6,999.7,91.0,3.9,3.5,5.4,129.0
30.9,34.5,27.1,998.5,71.0,5.8,3.9,5.4,114.0
29.2,31.6,27.5,999.8,81.0,4.7,6.5,9.4,84.0
29.7,32.8,27.1,999.5,78.0,4.7,4.4,9.4,105.0
31.4,34.6,27.0,997.1,71.0,4.5,4.1,7.6,57.0
30.4,34.7,28.0,997.1,76.0,4.3,6.1,11.1,74.0
29.7,34.0,26.7,997.8,79.0,4.8,8.0,11.1,99.0
30.9,36.0,28.2,996.3,73.0,4.5,1.9,5.4,202.0
28.8,31.3,27.4,998.2,83.0,4.2,7.6,11.1,232.0
29.1,32.6,26.8,999.1,86.0,4.5,5.7,11.1,279.0
27.2,28.7,26.1,1000.1,91.0,3.9,2.0,11.1,306.0
28.5,30.5,26.6,999.1,89.0,4.3,1.1,5.4,298.0
27.7,30.2,25.7,1000.0,88.0,4.2,1.3,5.4,303.0
27.9,32.5,26.6,998.5,86.0,4.0,1.3,5.4,272.0
27.6,30.5,26.2,1000.8,88.0,4.2,2.2,9.4,219.0
28.3,32.6,25.6,999.8,82.0,4.3,2.4,5.4,216.0
29.8,33.6,27.0,999.6,71.0,4.5,4.3,9.4,254.0
30.4,33.4,27.4,1001.5,72.0,4.5,5.0,9.4,289.0
29.3,34.0,27.2,1002.9,79.0,4.5,2.4,9.4,248.0
31.3,36.3,27.5,997.5,70.0,4.2,2.6,9.4,315.0
31.3,34.8,27.6,1000.6,67.0,5.0,6.5,11.1,263.0
30.6,34.6,26.7,1001.2,70.0,5.0,3.9,9.4,246.0
29.5,33.1,27.0,1000.9,77.0,4.5,5.9,11.1,200.0
29.0,31.9,26.3,1001.9,84.0,4.8,3.7,9.4,278.0
29.9,33.1,27.5,1000.3,81.0,5.1,5.2,7.6,299.0
29.8,33.7,27.0,998.6,76.0,4.3,3.0,9.4,179.0
29.4,31.3,27.0,1000.8,76.0,4.8,7.8,9.4,206.0
29.5,33.5,27.0,1002.5,81.0,4.5,4.4,7.6,193.0
29.9,33.7,27.8,1003.1,75.0,5.0,5.9,9.4,217.0
28.3,32.3,26.4,1003.6,85.0,4.2,2.8,5.4,266.0
30.6,32.2,25.8,1003.1,76.0,4.8,5.6,9.4,222.0
28.2,29.0,26.6,1005.6,85.0,4.8,4.8,9.4,218.0
31.0,34.4,27.4,1005.8,68.0,5.0,5.6,7.6,186.0
30.2,34.6,27.0,1006.4,71.0,4.7,2.0,5.4,212.0
27.6,29.6,25.0,1005.0,92.0,4.2,2.8,5.4,191.0
28.4,33.1,26.2,1006.5,83.0,4.5,8.5,42.4,222.0
30.4,34.0,26.2,1005.9,75.0,4.5,2.0,9.4,166.0
30.0,32.1,25.0,1009.5,69.0,5.5,8.3,14.8,194.0
30.5,33.9,26.8,1010.4,72.0,5.0,1.9,5.4,269.0
29.7,34.5,27.8,1006.5,79.0,4.5,2.2,7.6,152.0
30.6,35.5,27.8,1007.6,76.0,4.2,2.6,9.4,170.0
31.2,35.1,27.6,1007.4,66.0,4.8,0.7,5.4,190.0
30.6,36.1,25.0,1007.6,56.0,5.0,2.2,7.6,200.0
29.8,35.6,24.4,1008.1,60.0,5.0,1.1,38.9,179.0
31.1,35.9,26.8,1008.2,61.0,4.8,2.8,5.4,219.0
29.4,34.6,24.4,1009.0,66.0,4.3,0.9,7.6,191.0
25.5,29.0,24.6,1009.5,85.0,4.0,2.6,7.6,170.0
25.2,26.7,24.2,1010.6,85.0,4.0,7.4,13.0,151.0
27.1,32.6,22.5,1011.8,73.0,4.3,3.1,9.4,162.13986013986013
27.7,33.2,22.8,1011.5,64.0,4.5,0.6,3.5,162.13986013986013
27.3,32.2,21.6,1009.8,62.0,4.3,1.5,5.4,162.13986013986013
27.4,33.2,23.0,1011.6,65.0,3.9,1.3,5.4,162.13986013986013
27.4,32.6,23.4,1010.3,69.0,4.0,2.0,9.4,162.13986013986013
26.6,32.6,23.2,1010.7,72.0,4.0,0.7,3.5,162.13986013986013
27.7,33.2,24.8,1012.9,56.0,3.7,1.1,5.4,162.13986013986013
23.2,25.1,21.4,1014.6,83.0,4.0,7.2,13.0,162.13986013986013
23.9,26.6,21.1,1012.9,81.0,4.0,1.9,5.4,162.13986013986013
24.4,29.1,22.0,1013.3,74.0,4.0,1.1,5.4,162.13986013986013
24.7,30.2,20.4,1012.1,63.0,3.9,1.1,5.4,162.13986013986013
23.7,29.5,18.6,1011.2,74.0,3.5,1.3,5.4,162.13986013986013
24.5,30.2,19.0,1009.7,64.0,3.2,2.2,5.4,162.13986013986013
22.8,29.4,17.4,1014.1,66.0,3.9,1.9,9.4,162.13986013986013
23.8,30.0,17.5,1013.3,58.0,3.7,1.9,5.4,162.13986013986013
25.2,30.6,19.2,1015.5,54.0,3.9,4.3,9.4,162.13986013986013
21.2,26.6,18.0,1014.1,67.0,3.7,1.1,5.4,162.13986013986013
20.3,27.8,16.7,1012.5,70.0,3.5,0.9,5.4,162.13986013986013
21.8,28.5,16.7,1014.1,61.0,3.9,1.1,5.4,162.13986013986013
21.9,26.6,16.1,1012.6,56.0,4.0,1.1,3.5,162.13986013986013
21.8,27.4,17.8,1013.4,58.0,3.4,3.3,9.4,162.13986013986013
20.3,27.6,16.2,1012.6,70.0,3.5,0.7,5.4,162.13986013986013
